title,plot
L.A. Confidential (1997),"L.A. Confidential. 1950's Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime."
Ulee's Gold (1997),"Ulee's Gold. Ulee is called one day by his incarcerated son, Jimmy, asking for a favor. Jimmy will repay his debts if they save his wife, Helen, from hoodlums. Ulee must now risk his and his family's lives to save Helen."
Fly Away Home (1996),"Fly Away Home. Amy is only 13 years old when her mother is killed in an auto wreck in New Zealand. She goes to Canada to live with her father, an eccentric inventor whom she barely knows. Amy is miserable in her new life...that is until she discovers a nest of goose eggs that were abandoned when developers began tearing up a local forest. The eggs hatch and Amy becomes ""Mama Goose"". The young birds must fly south for the winter, but who will lead them there? With a pair of ultralight airplanes, Amy, her dad and their friends must find a way to do it..."
"Ice Storm, The (1997)","Ice Storm, The. "
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Mrs. Brown (Her Majesty, Mrs. Brown). "
"Devil's Advocate, The (1997)","Devil's Advocate, The. "
"Rainmaker, The (1997)","Rainmaker, The. "
"Wings of the Dove, The (1997)","Wings of the Dove, The. "
Midnight in the Garden of Good and Evil (1997),"Midnight in the Garden of Good and Evil. A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends."
Titanic (1997),"Titanic. 84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fianc, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning."
Apt Pupil (1998),"Apt Pupil. Neighborhood boy Todd Bowden (Renfro) discovers that an old man living on his block named Arthur Denker (Mackellan) is Nazi war criminal. Bowden confronts Denker and offers him a deal: Bowden will not go to the authorities if Denker tells him stories of the concentration camps in WWII. Denker agrees and Bowden starts visiting him regularly. The more stories Bowden hears, the more it affects his personality."
As Good As It Gets (1997),"As Good As It Gets. New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast."
In the Name of the Father (1993),"In the Name of the Father. A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. Bullied by the British police, he and four of his friends are coerced into confessing their guilt. Gerry's father and other relatives in London are also implicated in the crime. He spends 15 years in prison with his father trying to prove his innocence with the help of a British attorney, Gareth Peirce. Based on a true story."
Schindler's List (1993),"Schindler's List. Oskar Schindler is a vainglorious and greedy German businessman who becomes an unlikely humanitarian amid the barbaric Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp, it is a testament to the good in all of us."
Everyone Says I Love You (1996),"Everyone Says I Love You. Holden and Skylar are in love with each other. Skylar lives with a large and extended family on Manhattan. Her parents, Bob and Steffi have been married to each other for many years. Joe, a friend of theirs, who has a daughter, DJ, with Steffi. After yet another relationship, Joe is alone again. He flees to Venice, and meets Von, and makes her believe that he is the man of her dreams. However, their happiness is fake all the way, and she returns to her previous husband. Steffi spends her time with charity work, and manages to break up Skylars and Holdens relation when she introduces Skylar to a released jailbird, Charles Ferry."
Mother (1996),"Mother. After two failed marriages, a science fiction writer (Brooks) decides coming to terms with his mom will improve his chances for a successful relationship, so he moves in with his mom (Reynolds)."
Murder at 1600 (1997),"Murder at 1600. A 25 year old female White House staffer, Carla Town is murdered in the White House. D.C. homicide detective Regis is assigned to investigate, only to find all evidence suppressed by the Secret Service. After suspecting a cover-up, Regis convinces Secret Service Agent Nina Chance to assist in uncovering the cover-up. The President's son Kyle Neil is a prime suspect, as he was having sex with Carla within an hour of her murder. While the investigation ensues the President Jack Neil is holding meetings with top military personnel regarding North Korea's holding 23 U.S. military personnel hostage. Regis confronts top Secret Service Agent Spikings at his home shortly after Spikings returns home with evidence leading to the murder. The home is attacked and Spikings is killed, but Regis makes it out alive with Agent Chance's assistance, and with the evidence tape. White House adviser Jordan presents false evidence to the President that his son killed Carla and forces the President to say he will announce his resignation at 10 p.m. the following day. Regis and Chance break into the White House via underground tunnels, stop the President from resigning, and arrest Jordan for conspiracy to murder. Jordan pulls a gun, injures Agent Chance, and is killed by multiple Secret Service agents. News release states there were false rumors of the President resigning, and also falsely state that Agent Spikings was killed in the gunfire exchange between Jordan and the Secret Service."
